,기업명,제목,LABEL
2,아이쓰리시스템,[이주의 IPO기업]로지시스·아이쓰리시스템 등,
3,아이쓰리시스템,아이쓰리·로지시스·아시아경제 등 3곳 공모주 청약 실시,
4,아이쓰리시스템,[코스닥 주간메모] 20일(월)~24일(금),
5,아이쓰리시스템,오늘의 증시 일정 (7월 21일),
6,아이쓰리시스템,[오늘의 메모] 7월 21일,
0,민앤지,민앤지 공모주 청약에 4조 몰려,
1,민앤지,민앤지 청약증거금 4조…경쟁률 1108대1,
2,민앤지,"민앤지, 최종 청약 경쟁률 1107.81대 1 기록",
3,민앤지,"민앤지, 최종 청약 경쟁률 1107.81대 1",
4,민앤지,"민앤지, 최종 청약 경쟁률 1107.81: 1...증거금 4.3조 몰려",
5,민앤지,"[마켓인사이트]민앤지, 1107대1 경쟁률 기록하며 일반 공모 성공..오는 30일 ...",
6,민앤지,[장외주식] 민앤지·유테크 IPO株 하락세,
7,민앤지,[장외주식시황] 공모청약 경쟁률 1108대1로 마감한 ‘민앤지’ ↓,
8,민앤지,[장외주식시황] 올리패스 ↑,
9,민앤지,[코스닥 메모] (23일) 유상기준일=이수앱지스 등,
0,민앤지,"민앤지, 공모주 청약 경쟁률 1107대 1",
1,민앤지,[장외주식] IPO 1108대 1경쟁률 '민앤지' 2.27%↑,
2,민앤지,"[이데일리N] 코스닥, 시총 200조 원 돌파 外",
3,민앤지,[장외주식시황] 펩트론 ‘신고가’,
4,민앤지,"[장외주식시황] IPO주 펩트론, 파인텍, 케어젠…나란히 ‘신고가’",
5,민앤지,한 눈에 보는 6월 23일 장 이후 주요 뉴스 및 공시,
0,동운아나텍,동운아나텍 공모가 1만원 결정,
1,동운아나텍,"30일 상장 동운아나텍, 공모가 1만원 확정",
2,동운아나텍,"동운아나텍, 공모가 1만원 확정..30일 상장",
3,동운아나텍,"동운아나텍, 공모가 1만원으로 확정",
4,동운아나텍,"동운아나텍, 공모가 10000원으로 확정",
5,동운아나텍,"동운아나텍, 공모가 1만원 확정",
6,동운아나텍,"[마켓인사이트]동운아나텍, 공모가 1만원 확정",
7,동운아나텍,"동운아나텍, 공모가 1만원 확정...30일 상장",
8,동운아나텍,"장중 주요 뉴스, 공시 특징주(6/19)",
9,동운아나텍,"[장외주식] 현대다이모스, 3거래일만에 1.32%↓ 52주 최저가",
0,동운아나텍,"[신규상장기업 │동운아나텍] ""자동초점 구동칩 세계 시장점유율 1위""",
0,동운아나텍,동운아나텍 공모가 1만원 최종 확정,
1,동운아나텍,[이번주 공모주 청약] 동운아나텍·민앤지,
2,동운아나텍,민앤지 등 5곳 이번주 공모청약,
3,동운아나텍,6월 새내기株 ‘울상’…大漁 상장에 소외?,
0,동운아나텍,"동운아나텍, 카메라용 칩 세계점유율 50% 목표",
1,동운아나텍,동운아나텍의 자신감 “세상을 다 찍어 버리겠다”,
2,동운아나텍,[미리보는 이데일리신문]반년 앞 못내다본 정부 '1%대 모기지' 백지화,
0,동운아나텍,'AF칩 세계1위' 동운아나텍 30일 코스닥 상장,
1,동운아나텍,[마켓인사이트]동운아나텍 “상장 후 R&D 인력 확충..세계 1위 이어갈 것”,
2,동운아나텍,"[IPO]김동철 동운아나텍 ""카메라 AF 세계 1위죠""",
3,동운아나텍,"동운아나텍 ""코스닥 상장 통해 기술 개발에 박차""",
4,동운아나텍,"[머투방송IPO] 동운아나텍①, 30일 상장...""중화권 시장 지배력 강화""",
5,동운아나텍,동운아나텍 “코스닥 상장 계기로 글로벌 시장 선도”,
6,동운아나텍,"[6월 상장기업 분석]동운아나텍 김동철 대표 “진정한 중국 수출주는 우리, 상...",
7,동운아나텍,"동운아이텍 ""중화권 매출 60% 달하는 진정한 중국주될 것""",
8,동운아나텍,[IPO 돋보기 - 미래에셋생명보험 등 4社]하반기 최대어…실적 우량기업 속속 ...,
9,동운아나텍,[이데일리N] '축구장 13개 크기' 이마트타운 공개 外,
0,제노포커스,IPO '큰장' 선다,
1,제노포커스,[장외시장동향] 덴티움 24% 상승…IPO·바이오 관련 업종 강세,
0,제노포커스,"제노포커스, 공모가 1만1000원 확정",
1,제노포커스,제노포커스 공모가 1만1000원 확정…희망 밴드 상단 초과,
2,제노포커스,"제노포커스, 공모가 1만1000원 확정...밴드 상한 초과",
3,제노포커스,"[웰스투어-세션3]""19일 공모 예정, 제노포커스 주목하라""",
4,제노포커스,오늘의 레이더M 뉴스 (5월 16일),
5,제노포커스,(장보는남자)하이비젼시스템,
6,제노포커스,[장외주식] 현대카드 모처럼 반등 성공 1.67%↑,
7,제노포커스,현대엔지니어링 '신고가 경신'…코아스템·선바이오·신라젠↑,
8,제노포커스,"[장외주식시황] 코아스템⊙민앤지, 코스닥 심사 승인 소식에 ‘급등’",
9,제노포커스,"[장외주식시황] 코아스템, ‘상장 승인’ 소식에 ↑",
0,픽셀플러스,픽셀플러스 공모가 3만원 확정,
1,픽셀플러스,"픽셀플러스, 희망 공모가 하회 그래도 신규산업은 문제 없다",
2,픽셀플러스,"[더벨]한국證, 픽셀플러스 주관사 꿰찬 배경은",
3,픽셀플러스,"픽셀플러스, 공모가 3만원 확정… 2일부터 청약",
4,픽셀플러스,"픽셀플러스, 공모가 3만원 확정…희망 공모가 하회",
5,픽셀플러스,"픽셀플러스, 공모가 3만원 확정…내달 12일 상장 예정",
6,픽셀플러스,"픽셀플러스, 코스닥 상장 공모가 3만원 확정",
7,픽셀플러스,돈 몰리는 IPO 시장…6월 '큰 장' 선다,
8,픽셀플러스,"[취재수첩] 떠나거나, 붙잡게 만들거나",
9,픽셀플러스,"[장외주식] 펩트론, 5거래일 연속 상승 '신고가'",
0,제노포커스,"[紙上 IR]효소로 매출액 연평균 50%↑, 제노포커스",
1,제노포커스,"[장외주식시황] 제노포커스, 내주 공모 앞두고 ↑",
2,제노포커스,"제노포커스, 내주 공모 앞두고 '급등세'…선바이오↑",
3,제노포커스,"[장외주식시황] 제노포커스, 공모 앞두고 급등.. 이틀째 ‘신고가’",
4,제노포커스,"[장외주식] 덴티움, 최고가 경신",
5,제노포커스,하반기 IPO시장 4배 커진다,
0,제노포커스,산업용 효소업체 제노포커스 18~19일 120만주 공모 청약,
1,제노포커스,"[장외주식시황] 제노포커스, 공모 첫날 급등 ‘신고가 랠리’",
2,제노포커스,제노포커스 '신고가 랠리'…선바이오·코아스템·덴티움↑,
3,제노포커스,[장외주식 주간시황] 제노포커스 기관 수요예측 842대1 기록적인 경쟁률로 15...,
4,제노포커스,"공모주 투자, 하반기가 ‘본 게임’",
5,제노포커스,한 눈에 보는 5월 15일 장 이후 주요 뉴스 및 공시,
6,제노포커스,[코스닥 주간메모] 5월 18일(월)~5월 22일(금),
7,제노포커스,[오늘의 메모] 5월 19일,
8,제노포커스,"[장외주식] 세메스 7.41% 급등, 신고가 눈앞",
9,제노포커스,[이슈N] IPO 활기…코스닥 `100곳 넘을듯`,
0,싸이맥스,[이번주 공모주] 픽셀플러스·싸이맥스,
1,싸이맥스,"`하반기 대어` LIG넥스원, 이번주 상장 심사 청구",
2,싸이맥스,달아오르는 공모주 시장 … 1조원 ‘큰 장’ 선다,
0,픽셀플러스,"대목 앞둔 IPO시장, 직접투자·공모주펀드 모두 시선집중",
1,픽셀플러스,[마켓인사이트] 내달 21개사 공모주 청약…IPO 시장 '1조 큰 장' 선다,
0,에스엔텍,"[신규상장기업 │에스엔텍] ""차세대 디스플레이 장비업체로 도약""",
1,에스엔텍,"[마켓인사이트]에스엔텍 ""2020년 글로벌 디스플레이 장비업체 도약""",
2,에스엔텍,(수급이답이다)효성,
3,에스엔텍,[오늘의 메모] 6월 17일,
4,에스엔텍,오늘의 증시 일정 (6월 17일),
5,에스엔텍,한 눈에 보는 6월 15일 장 이후 주요 뉴스 및 공시,
0,싸이맥스,"픽셀플러스·싸이맥스, 이번 주 공모청약 실시",
1,싸이맥스,[코스닥 주간메모] 6월 1일(월)~6월 5일(금),
0,픽셀플러스,[이번주 공모주] 픽셀플러스·싸이맥스,
1,픽셀플러스,"`하반기 대어` LIG넥스원, 이번주 상장 심사 청구",
2,픽셀플러스,[장외시장동향] 펩트론 23% 상승…바이오 관련주 강세,
3,픽셀플러스,달아오르는 공모주 시장 … 1조원 ‘큰 장’ 선다,
0,세미콘라이트,[오늘의 메모] 6월 17일,
1,세미콘라이트,오늘의 증시 일정 (6월 17일),
0,싸이맥스,[오늘의 메모] 6월 5일,
1,싸이맥스,오늘의 증시 일정 (6월 5일),
2,싸이맥스,[코스닥 메모] (4일) 유상권리락=신양엔지니어링 등,
0,싸이맥스,"[에셋플러스] 싸이맥스, 국내 첫 반도체용 진공로봇 국산화",
1,싸이맥스,[6월 상장기업 분석]싸이맥스 17일 코스닥 시장 입성…공모가 1만6300원,
2,싸이맥스,"[종목 클로즈업]싸이맥스 IPO, 삼성전자 반도체 공정 효율화 앞장서",
3,싸이맥스,[장외주식] 현대엔지니어링 0.39%↑…신고가 또 경신,
4,싸이맥스,오늘의 증시 일정 (6월 4일),
5,싸이맥스,미래에셋생명·SK D&D 6월 공모,
6,싸이맥스,픽셀플러스 청약 68대1,
7,싸이맥스,[오늘의 메모] 6월 4일,
8,싸이맥스,한 눈에 보는 6월 2일 장 이후 주요 뉴스 및 공시,
9,싸이맥스,[6월 상장기업 분석]IPO '큰 장' 선다…미래에셋생명 등 21곳 줄줄이,
0,싸이맥스,[IPO돋보기 - 싸이맥스]웨이퍼 이송장비 최강자…세계 1위 야심,
1,싸이맥스,"[IPO돋보기] 반도체 웨이퍼 이송장비 제조기업 싸이맥스, 상장 앞두고 공모흥...",
0,세미콘라이트,"[신규상장기업 │세미콘라이트] ""글로벌 LED 플립칩 전문기업으로 도약""",
1,세미콘라이트,상반기 IPO 주관 1위는 'NH투자증권',
0,싸이맥스,돈 몰리는 IPO 시장…6월 '큰 장' 선다,
0,제노포커스,"[상장준비중!] 제노포커스 ""갈락토올리고당 제조용 락타아제 개발""",
1,제노포커스,"[장외주식시황] 제노포커스, 수요예측 첫날 ↑ ‘신고가’",
2,제노포커스,[마켓인사이트]김의중 제노포커스 대표 “연평균 50% 성장 확신…세계 1위 도...,
3,제노포커스,"[장외주식] 에이티젠, 11거래일 만에 반등",
4,제노포커스,IPO기업 주목…주가 상승률 `후끈`,
5,제노포커스,현대엔지니어링·포스코건설 '강세'…현대아산은 ↓,
6,제노포커스,[장외주식시황] 현대엔지니어링 ↑,
0,픽셀플러스,[장외주식] 현대엔지니어링 11%대 급등 '최고가',
1,픽셀플러스,"[장외주식시황] 제노포커스, 공모가 대비 156.81% 상승하며 장외마감",
2,픽셀플러스,[장외주식시황] 현대엔지니어링 ‘신고가’,
0,픽셀플러스,"[종목분석]픽셀플러스, CCTV 카메라 이미지센서 1위 업체",
1,픽셀플러스,[장외주식] IPO株 희비…펩트론 16%↑·픽셀플러스 19%↓,
2,픽셀플러스,"픽셀플러스, 공모가 3만원 확정···6월 12일 상장",
3,픽셀플러스,"픽셀플러스·싸이맥스, 이번 주 공모청약 실시",
4,픽셀플러스,[코스닥 주간메모] 6월 1일(월)~6월 5일(금),
5,픽셀플러스,오늘의 증시 일정 (6월 2일),
6,픽셀플러스,[오늘의 메모] 6월 2일,
7,픽셀플러스,[장외주식 주간시황] IPO주 상승행렬로 장외시장 9주 연속 상승 기록,
8,픽셀플러스,"[장외주식시황] 펩트론, 코스닥 심사 승인 소식에 급등 하며 ‘신고가’",
9,픽셀플러스,"[장외주식시황] 펩트론, ‘상장 승인’ 결정 소식에 ↑",
0,세미콘라이트,"세미콘라이트, 공모가 1만1300원 확정",
1,세미콘라이트,"세미콘라이트, 공모가 1만1,300원…오는 16~17일 공모주 청약",
2,세미콘라이트,[이번주 IPO 기업]국내 API 1위 경보제약 등 5곳,
3,세미콘라이트,"일반인 공모청약, 부동자금 ‘집중’…“투자 기회 많아져”",
4,세미콘라이트,"가격제한폭 2배 확대, 공모주 매력도 2배",
5,세미콘라이트,"종근당 계열사 경보제약, 18~19일 청약",
6,세미콘라이트,IPO시장 뜨겁지만 양극화도 심화,
7,세미콘라이트,오늘의 증시 일정 (6월 16일),
8,세미콘라이트,[오늘의 메모] 5월 16일,
9,세미콘라이트,"장중 주요 뉴스, 공시 특징주(6/15)",
0,세미콘라이트,이번주 5곳 공모…경보제약 18~19일 공모청약,
1,세미콘라이트,[공모주브리핑]국내1위 원료의약품 기업 경보제약,
2,세미콘라이트,경보제약 등 5곳 이번주 공모 청약,
3,세미콘라이트,이번주 재테크 캘린더,
0,싸이맥스,"싸이맥스, 공모가 1만6300원 확정",
1,싸이맥스,"싸이맥스, 공모가 1만6300원 확정…4일부터 청약",
2,싸이맥스,싸이맥스 공모가 1만6300원 확정..밴드 상단,
3,싸이맥스,"싸이맥스, 공모가 1만6,300원 확정",
4,싸이맥스,"싸이맥스 ""공모가 1만6300원 확정..17일 상장 예정""",
5,싸이맥스,"'17일 상장' 싸이맥스, 공모가 1만6300원 확정",
6,싸이맥스,"싸이맥스, 공모가 1만6300원 확정",
7,싸이맥스,"싸이맥스, 공모가 1만6,300원 확정…4~5일 공모주 청약",
8,싸이맥스,6월 IPO 시장 후끈 달아오른다,
9,싸이맥스,6월 공모주 청약 '대풍년',
0,픽셀플러스,"히든챔피언 픽셀플러스, 카메라 토탈 솔루션 기업으로 레벨 업!",
1,픽셀플러스,"[더벨]6년만에 돌아온 픽셀플러스, IPO 흥행 관건은",
2,픽셀플러스,"[상장예정]픽셀플러스, ""보안 카메라 이미지 센서 세계 1위, 내년 IoT 시장 진...",
3,픽셀플러스,"[신규상장기업 │픽셀플러스] ""나스닥 실패 딛고 코스닥으로 새출발""",
4,픽셀플러스,"차별화 기술로 성장한 팹리스, 상장 초읽기",
5,픽셀플러스,증시 활황에 신규상장 ‘봇물’,
6,픽셀플러스,[장외주식 주간시황] 제노포커스 1206대1의 높은 공모 청약 경쟁률로 주가 32...,
7,픽셀플러스,[장외주식 주간시황] 바이오관련주 전반 ‘강세’,
0,세미콘라이트,"코스닥 입성 앞둔 세미콘라이트, 글로벌 LED에 투자",
0,픽셀플러스,픽셀플러스 청약 첫날… 증거금 181억원↑,
1,픽셀플러스,"[더벨]픽셀플러스 공모가, 희망밴드 하단에도 못미쳐",
2,픽셀플러스,6월 공모주 청약 '대풍년',
3,픽셀플러스,훈풍 부는 국내 팹리스 M&A,
4,픽셀플러스,[오늘의 메모] 6월 3일,
5,픽셀플러스,[장외주식]'메르스' 관련 솔젠트 18%대 급등,
6,픽셀플러스,"[장외주식시황] 솔젠트, 메르스 진단키트 공급 소식에 ‘급등’",
7,픽셀플러스,"솔젠트, 메르스 진단키트 공급 소식에 '급등세'…민앤지↑",
8,픽셀플러스,"[장외주식시황] 솔젠트, 메르스 진단키트 공급 소식에 ↑",
9,픽셀플러스,[코스닥 메모] (2일) 일반공모청약=백산OPC 등,
0,에스엔텍,SL인베 에스엔텍 투자로 2배 대박,
1,에스엔텍,"[미리보는 IPO] 에스엔텍 ""차세대 디스플레이 장비 업체 1위 노린다""",
2,에스엔텍,[IPO 돋보기 - 미래에셋생명보험 등 4社]하반기 최대어…실적 우량기업 속속 ...,
3,에스엔텍,[오늘의 메모] 6월 18일,
4,에스엔텍,오늘의 증시 일정 (6월 18일),
5,에스엔텍,[코스닥 메모] (17일) 유상기준일=휴메딕스 등,
0,세미콘라이트,"세미콘라이트, LED 블루오션 '플립칩' 강자",
1,세미콘라이트,"세미콘라이트 ""코스닥 블루칩으로 성장""",
2,세미콘라이트,"[6월 상장기업 분석]세미콘라이트 “LED 패러다임 변화, 플립칩으로 선도”",
3,세미콘라이트,"[IPO]박은현 세미콘라이트 ""LED 플립칩, 우리가 주역""",
4,세미콘라이트,박은현 세미콘라이트 대표 “코스닥 블루칩으로 성장할 것”,
5,세미콘라이트,"세미콘라이트 ""'실버프리' 플립칩으로 LED 패러다임 선도""",
6,세미콘라이트,"세미콘라이트 ""글로벌 LED 플립칩 전문기업 도약""",
7,세미콘라이트,"세미콘라이트, 코스닥상장…'글로벌 LED 플립칩 기업' 도약",
8,세미콘라이트,"[머투방송IPO] 세미콘라이트①, 25일 코스닥 상장...""글로벌 선두업체 도약""",
9,세미콘라이트,"세미콘라이트 ""플립칩으로 LED업계 트렌드 선도""",
0,에스엔텍,[공모주브리핑]국내1위 원료의약품 기업 경보제약,
1,에스엔텍,이번주 5곳 공모…경보제약 18~19일 공모청약,
2,에스엔텍,경보제약 등 5곳 이번주 공모 청약,
3,에스엔텍,이번주 재테크 캘린더,
0,에스엔텍,[CEO in 마켓] 안경준 에스엔텍 대표,
1,에스엔텍,"에스엔텍 26일 코스닥 입성…""기계산업 침체 딛고 70% 성장""",
2,에스엔텍,"가격제한폭 2배 확대, 공모주 매력도 2배",
3,에스엔텍,"종근당 계열사 경보제약, 18~19일 청약",
4,에스엔텍,[장외주식] 기업공개株 강세…싸이맥스 1.3%↑,
5,에스엔텍,[코스닥 주간메모] 5월 15일(월)~5월 19일(금),
6,에스엔텍,"[이데일리N] KT, 스마트폰 '기가 LTE 서비스' 상용화 外",
7,에스엔텍,"[장외주식시황] 파마리서치프로덕트, 파멥신…급등하며 ‘신고가’",
8,에스엔텍,"일반인 공모청약, 부동자금 ‘집중’…“투자 기회 많아져”",
9,에스엔텍,IPO시장 뜨겁지만 양극화도 심화,
0,코아스템,코아스템 공모에 3조원 몰려…경쟁률 752대 1,
1,코아스템,코아스템 공모청약 경쟁률 752대1,
2,코아스템,"코아스템, 최종 청약 경쟁률 752대 1 기록",
3,코아스템,"코아스템, 공모 경쟁률 752대1…3조원 몰려",
4,코아스템,"코아스템, 최종 청약 경쟁률 752대 1 기록",
5,코아스템,"[더벨]코아스템 투자 VC, 최대 5배 대박 수익 기대",
6,코아스템,제약 공모주 맞불..코아스템 vs 경보제약,
7,코아스템,"코아스템, 최종 청약 경쟁률 752대 1",
8,코아스템,[더벨]코아스템 '대박'에 주관사단 수입도 '쏠쏠',
9,코아스템,기술특례 상장사 '불패신화'… 들썩이는 장외시장,
0,코아스템,"[장외주식시황] 공모주 코아스템, 민앤지 ..강세 ‘신고가’",
1,코아스템,민앤지·파인텍 줄줄이 '급등세'…코아스템도 강세,
2,코아스템,[장외주식시황] 코아스템•파인텍•민앤지 ↑,
3,코아스템,"[이데일리N] 팬택, 회생 가능성 … 옵티스와 인수합병 MOU 外",
4,코아스템,[오늘의 메모] 6월 18일,
5,코아스템,오늘의 증시 일정 (6월 18일),
0,에스엔텍,[장외주식] 바이오벤처株 상승세…휴젤 10%↑,
1,에스엔텍,"[장외주식시황] 내일 상장하는 픽셀플러스, 약세로 장외마감",
0,코아스템,"[상장준비중!] 코아스템, 루게릭병 치료제 개발한 바이오 업체",
1,코아스템,"코아스템 ""3년내 매출 710억 목표""",
2,코아스템,[공모주브리핑]국내1위 원료의약품 기업 경보제약,
3,코아스템,경보제약 등 5곳 이번주 공모 청약,
4,코아스템,이번주 5곳 공모…경보제약 18~19일 공모청약,
5,코아스템,이번주 재테크 캘린더,
6,코아스템,[장외시장동향] 민앤지 25% 상승…IPO주 강세,
0,유테크,유테크 청약 최종경쟁률 21.14대1..청약증거금 210억,
1,유테크,"[장외주식] 현대다이모스, 3거래일만에 1.32%↓ 52주 최저가",
2,유테크,[코스닥 메모] (19일) 신규상장=베셀(177350) 등,
0,유테크,"대신증권, 유테크 청약 21.14대 1 경쟁률로 청약 마감",
1,유테크,6월 새내기株 ‘울상’…大漁 상장에 소외?,
0,코아스템,"코스닥 입성 앞둔 코아스템 ""글로벌 희귀병 치료제 시장 선도""",
0,코아스템,"코아스템, 공모가 1만6000원 확정",
1,코아스템,"코아스템, 공모가 1만6000원 확정",
2,코아스템,"코아스템, 공모가 1만6천원 확정",
3,코아스템,"[장외주식시황] 코아스템, 공모가 밴드상단 초과 소식에 ↑",
4,코아스템,(수급이답이다)효성,
5,코아스템,"[장외주식] 상장 앞둔 민앤지 10%↑, 고점 경신",
6,코아스템,[오늘의 메모] 6월 17일,
7,코아스템,민앤지·파인텍 '급등세'…다이노나·옐로모바일·코리센↓,
8,코아스템,[장외주식시황] 민앤지 ↑,
9,코아스템,오늘의 증시 일정 (6월 17일),
0,코아스템,[fn IPO] 바이오기업 '코아스템',
1,코아스템,"[머투방송IPO]코아스템①, 오는 26일 코스닥 상장…""세계 최초 루게릭병 치료...",
2,코아스템,"코아스템, 26일 코스닥 입성… 줄기세포치료제 특화 글로벌 바이오 벤처로 도...",
3,코아스템,"[IPO]김경숙 코아스템 ""루게릭 줄기세포치료제 시판 시작""",
4,코아스템,김경숙 코아스템 대표 “코스닥 상장 발판 글로벌 바이오 벤처 도약할 것”,
5,코아스템,"코아스템 ""상장 통해 줄기세포 치료제 전문기업 도약""",
6,코아스템,민앤지·바디텍메드 '강세'…코아스템·삼성메디슨·LG CNS↓,
7,코아스템,"[이데일리N] 이주열 ""통화정책 완화 기조, 당분간 유지"" 外",
8,코아스템,"[장외주식시황] 민앤지, 휴젤.. 급등하며 ‘신고가’",
9,코아스템,[장외주식시황] 휴젤 ↑,
0,에스엔텍,[장외주식] IPO株 에스엔텍·코아스템 강세,
1,에스엔텍,"[장외주식시황] 다이노나, 애니젠… 급등하며 ‘신고가’",
0,코아스템,"[신규상장기업 │코아스템] ""세계 최초 루게릭병 치료제 개발 및 상용화 """,
1,코아스템,"[장외주식 주간시황] 공모를 앞둔 코아스템, 펩트론 등 IPO주들 대거 상승세",
2,코아스템,[이번주 IPO 기업]국내 API 1위 경보제약 등 5곳,
3,코아스템,"가격제한폭 2배 확대, 공모주 매력도 2배",
4,코아스템,"종근당 계열사 경보제약, 18~19일 청약",
5,코아스템,[장외주식] 기업공개株 강세…싸이맥스 1.3%↑,
6,코아스템,"일반인 공모청약, 부동자금 ‘집중’…“투자 기회 많아져”",
7,코아스템,[장외주식 주간시황] IPO주 ↑,
8,코아스템,[장외주식시황] 바이오주 ↑,
9,코아스템,"[장외주식시황] 파마리서치프로덕트, 파멥신…급등하며 ‘신고가’",
0,유테크,"유테크, 공모가 희망밴드 상단 9000원… 18~19일 청약",
1,유테크,"디스플레이 부품기업 유테크, 코스닥 공모가 9000원 확정",
2,유테크,"유테크, 공모가 9000원 확정..밴드 상단",
3,유테크,"유테크, 공모가 9000원 확정…청약경쟁률 351대 1 기록",
4,유테크,"유테크, 일반공모가 9000원 확정",
5,유테크,"유테크, 공모가 9,000원 확정…18~19일 공모주 청약",
6,유테크,"유테크, 공모가 9000원 확정…18~19일 청약",
7,유테크,오늘의 증시 일정 (6월 18일),
8,유테크,[오늘의 메모] 6월 18일,
9,유테크,이데일리 `내일의 경제일정`-거시경제금융회의,
0,유테크,"[장외주식시황] 파인텍, IPO주 중 유일하게 ↑",
1,유테크,[IPO가 애국이다]② 52개사 상장 '임박'…증시 뛸때 입성하자,
2,유테크,"[장외주식 주간시황] 상장을 앞둔 코아스템, 펩트론 등 상승으로 IPO주 대거 ...",
0,코아스템,[장외주식시황] 민앤지•펩트론 ↑,
1,코아스템,"민앤지, 급등세에 신고가 경신…바디텍메드·펩트론 ↑",
2,코아스템,"[장외주식시황] 내일 상장하는 픽셀플러스, 약세로 장외마감",
0,동운아나텍,동운아나텍 공모 청약 경쟁률 48대1,
1,동운아나텍,"[마켓인사이트]동운아나텍, 청약 경쟁률 48 대 1",
2,동운아나텍,[장외주식] 민앤지·유테크 IPO株 하락세,
3,동운아나텍,민앤지 공모주 청약에 4조 몰려,
4,동운아나텍,[코스닥 메모] (23일) 유상기준일=이수앱지스 등,
0,동운아나텍,[공모주브리핑]보안기업 민앤지·IT부품기업 동운아나텍,
1,동운아나텍,동운아나텍 등 5곳 이번주 공모주 청약,
2,동운아나텍,[이주의 IPO기업]AF구동칩 세계 1위 동운아나텍 등,
3,동운아나텍,이번주 동운아나텍 등 5곳 공모 시작,
4,동운아나텍,[코스닥 주간메모] 22일(월)~26일(금),
5,동운아나텍,[오늘의 메모] 6월 23일,
6,동운아나텍,오늘의 증시 일정 (6월 23일),
0,유테크,"유테크,공모가 9000원 확정...18~19일 청약",
1,유테크,이데일리 `오늘의 경제일정`-거시경제금융회의,
2,유테크,한 눈에 보는 6월 17일 장 이후 주요 뉴스 및 공시,
3,유테크,이데일리 이슈&뉴스 브리핑 6월18일(오전),
4,유테크,오늘의 증시 일정 (6월 19일),
5,유테크,[오늘의 메모] 6월 19일,
6,유테크,[코스닥 메모] (18일) 신규상장=하나머스트5호스팩 등,
0,유테크,"가격제한폭 2배 확대, 공모주 매력도 2배",
1,유테크,"종근당 계열사 경보제약, 18~19일 청약",
2,유테크,[이번주 IPO 기업]국내 API 1위 경보제약 등 5곳,
3,유테크,[코스닥 주간메모] 5월 15일(월)~5월 19일(금),
4,유테크,"소형 디스플레이용 도광판, PC 소재가 평정",
5,유테크,[장외주식] 기업공개株 강세…싸이맥스 1.3%↑,
6,유테크,"[장외주식 주간시황] 공모를 앞둔 코아스템, 펩트론 등 IPO주들 대거 상승세",
7,유테크,"일반인 공모청약, 부동자금 ‘집중’…“투자 기회 많아져”",
0,제노포커스,"제노포커스, 공모 청약 대박났다",
1,제노포커스,제노포커스 '연일 급등세'…펩트론·신라젠·선바이오·현대엔지니어링↓,
2,제노포커스,뜨거운 공모주 시장…떠도는 부동자금 삼킨다,
3,제노포커스,"생명硏, 바이오의약 기업생태계 기술교류회 개최",
4,제노포커스,"NH투자증권 한국투자증권, 기업공개 주도권 경쟁 치열",
5,제노포커스,[증시특보]백수오 충격 벗어나나…바이오주 '꿈틀',
6,제노포커스,"생명硏, 바이오 기업생태계 밑거름 된다",
7,제노포커스,"[장외주식시황] 바이오관련주, 등락 엇갈려",
8,제노포커스,"[장외주식시황] 파멥신, 올리패스, 코리센… 두 자리 수 급등하며 ‘신고가’",
9,제노포커스,한 눈에 보는 5월 19일 장 이후 주요 뉴스 및 공시,
0,제노포커스,"제노포커스, 코스닥 공모청약에 1조6천억 몰려",
1,제노포커스,"[이민재기자의 현장스몰캡]제노포커스, 29일 상장…아이엠헬스케어, 체지방 측...",
2,제노포커스,[더벨]제노포커스 투자한 벤처캐피탈 회수 셈법,
3,제노포커스,제노포커스 '신고가 행진'…선바이오·파인텍·미래에셋생명↓,
4,제노포커스,매출 61억 벤처 공모 1조6000억원 몰렸다,
5,제노포커스,'내츄럴엔도텍 쇼크' 극복하고 바이오 IPO 되살아나나,
6,제노포커스,"[레이더M] 바이오 업체들 ""IPO 일정 연기 없다""",
7,제노포커스,"[장외주식시황] 제노포커스, 파마리서치프로덕트, 에이티젠, 올리패스, 파멥신...",
8,제노포커스,IPO 대기株 장외시장서 먼저 '만개',
9,제노포커스,"[내츄럴엔도텍 파장] IPO 주관사들 ""중국고섬과 달라 영향 미미""",
0,아스트,"‘아스트’, 공모가 9,500원 확정",
1,아스트,아스트 공모가 9500원 확정… 15·16일 청약,
2,아스트,[이번주 공모주] 넥스트엔터테인먼트월드·서전기전·아스트,
3,아스트,[공모주브리핑]세화아이엠씨·아스트 등,
4,아스트,‘제2모직’ 공모주 쟁탈전 2라운드,
5,아스트,세화아이엠씨 등 11곳 이번주 공모주 청약,
6,아스트,이번주 재테크 캘린더,
7,아스트,공모주 청약주간..공모주 무덤되나,
8,아스트,[장외시장동향] IPO관련주 혼조 마감,
9,아스트,"""우리도 제일모직처럼…"" 이번주 공모주 청약 11곳 실시",
0,넥스트엔터테인먼트월드,[이번주 공모주] 넥스트엔터테인먼트월드·서전기전·아스트,
1,넥스트엔터테인먼트월드,‘제2모직’ 공모주 쟁탈전 2라운드,
2,넥스트엔터테인먼트월드,세화아이엠씨 등 11곳 이번주 공모주 청약,
3,넥스트엔터테인먼트월드,[공모주브리핑]세화아이엠씨·아스트 등,
4,넥스트엔터테인먼트월드,공모주 청약주간..공모주 무덤되나,
5,넥스트엔터테인먼트월드,이번주 재테크 캘린더,
